keynote_slide	slide_id	object_id	object_type	parent_object_id	iwa_file	x	y	width	height	angle	text	data_id	original_plot_filename	package_file_name	is_preview
6	877692	1284819	3005		Index/Slide-877692.iwa	41.073760986328125	80.18231964111328	233.2988739013672	167.59536743164062	0.0		12536	TP_genomiclandscape_associaiton-small.png	TP_genomiclandscape_associaiton-small-12536.png	True
6	877692	1284819	3005		Index/Slide-877692.iwa	41.073760986328125	80.18231964111328	233.2988739013672	167.59536743164062	0.0		12535	TP_genomiclandscape_associaiton.pdf	TP_genomiclandscape_associaiton-12535.pdf	False
6	877692	1284892	3005		Index/Slide-877692.iwa	375.12939453125	189.16065979003906	160.0	105.13123321533203	0.0		12543	age_fusion.pdf	age_fusion-12543.pdf	False
6	877692	1284892	3005		Index/Slide-877692.iwa	375.12939453125	189.16065979003906	160.0	105.13123321533203	0.0		12544	age_fusion-small.png	age_fusion-small-12544.png	True
6	877692	1284891	3005		Index/Slide-877692.iwa	449.1280212402344	72.5775375366211	160.0	105.13123321533203	0.0		12547	age_braf-small.png	age_braf-small-12547.png	True
6	877692	1284891	3005		Index/Slide-877692.iwa	449.1280212402344	72.5775375366211	160.0	105.13123321533203	0.0		12546	age_braf.pdf	age_braf-12546.pdf	False
6	877692	1284893	3005		Index/Slide-877692.iwa	281.75030517578125	72.17646789550781	160.0	105.93338012695312	0.0		12550	age_tert-small.png	age_tert-small-12550.png	True
6	877692	1284893	3005		Index/Slide-877692.iwa	281.75030517578125	72.17646789550781	160.0	105.93338012695312	0.0		12549	age_tert.pdf	age_tert-12549.pdf	False
6	877692	1310743	3005		Index/Slide-877692.iwa	283.0618896484375	305.7311096191406	295.6336975097656	197.089111328125	0.0		12632	TP_latency_drivergenes_association.pdf	TP_latency_drivergenes_association-12632.pdf	False
6	877692	1310743	3005		Index/Slide-877692.iwa	283.0618896484375	305.7311096191406	295.6336975097656	197.089111328125	0.0		12633	TP_latency_drivergenes_association-small.png	TP_latency_drivergenes_association-small-12633.png	True
6	877692	1310744	3005		Index/Slide-877692.iwa	53.44852066040039	514.677978515625	295.6336669921875	197.089111328125	0.0		12639	TP_MRCA_drivergenes_association-small.png	TP_MRCA_drivergenes_association-small-12639.png	True
6	877692	1310744	3005		Index/Slide-877692.iwa	53.44852066040039	514.677978515625	295.6336669921875	197.089111328125	0.0		12638	TP_MRCA_drivergenes_association.pdf	TP_MRCA_drivergenes_association-12638.pdf	False
7	1288038	1288144	3005		Index/Slide-1288038.iwa	46.38351058959961	100.3957290649414	491.45318603515625	204.7721710205078	0.0		12646	tp_age_clock_mutation_acc-small.png	tp_age_clock_mutation_acc-small-12646.png	True
7	1288038	1288144	3005		Index/Slide-1288038.iwa	46.38351058959961	100.3957290649414	491.45318603515625	204.7721710205078	0.0		12645	tp_age_clock_mutation_acc.pdf	tp_age_clock_mutation_acc-12645.pdf	False
8	1041057	1298216	3005		Index/Slide-1041057.iwa	98.835205078125	96.4713134765625	414.32958984375	258.9559631347656	0.0		12845	TP_genomic_alterations2_final_tmp.pdf	TP_genomic_alterations2_final_tmp-12845.pdf	False
8	1041057	1298216	3005		Index/Slide-1041057.iwa	98.835205078125	96.4713134765625	414.32958984375	258.9559631347656	0.0		12846	TP_genomic_alterations2_final_tmp-small.png	TP_genomic_alterations2_final_tmp-small-12846.png	True
9	1066943	1300207	3005		Index/Slide-1066943.iwa	112.22015380859375	77.35079956054688	408.5846252441406	255.3654327392578	0.0		12560	tp_tumor_hetrogenerity_math_ccf_drivers.pdf	tp_tumor_hetrogenerity_math_ccf_drivers-12560.pdf	False
9	1066943	1300207	3005		Index/Slide-1066943.iwa	112.22015380859375	77.35079956054688	408.5846252441406	255.3654327392578	0.0		12561	tp_tumor_hetrogenerity_math_ccf_drivers-small.png	tp_tumor_hetrogenerity_math_ccf_drivers-small-12561.png	True
9	1066943	1324689	3005		Index/Slide-1066943.iwa	96.62489318847656	345.6085205078125	471.4073486328125	342.84173583984375	0.0		12567	tp_tumor_hetrogenerity_math_ccf_drivers2.pdf	tp_tumor_hetrogenerity_math_ccf_drivers2-12567.pdf	False
9	1066943	1324689	3005		Index/Slide-1066943.iwa	96.62489318847656	345.6085205078125	471.4073486328125	342.84173583984375	0.0		12568	tp_tumor_hetrogenerity_math_ccf_drivers2-small.png	tp_tumor_hetrogenerity_math_ccf_drivers2-small-12568.png	True
10	1322732	1322936	3005		Index/Slide-1322732.iwa	85.84619140625	331.9366455078125	412.11773681640625	154.5441436767578	0.0		13123	TCGA-EM-A3FJ-01A-11D-A85U-36_DPClust.pdf	TCGA-EM-A3FJ-01A-11D-A85U-36_DPClust-13123.pdf	False
10	1322732	1322936	3005		Index/Slide-1322732.iwa	85.84619140625	331.9366455078125	412.11773681640625	154.5441436767578	0.0		13124	TCGA-EM-A3FJ-01A-11D-A85U-36_DPClust-small.png	TCGA-EM-A3FJ-01A-11D-A85U-36_DPClust-small-13124.png	True
10	1322732	1323276	3005		Index/Slide-1322732.iwa	85.84619140625	109.28717803955078	412.11773681640625	154.5441436767578	0.0		13134	TCGA-EL-A3H3-01A-11D-A85S-36_DPClust-small.png	TCGA-EL-A3H3-01A-11D-A85S-36_DPClust-small-13134.png	True
10	1322732	1323276	3005		Index/Slide-1322732.iwa	85.84619140625	109.28717803955078	412.11773681640625	154.5441436767578	0.0		13133	TCGA-EL-A3H3-01A-11D-A85S-36_DPClust.pdf	TCGA-EL-A3H3-01A-11D-A85S-36_DPClust-13133.pdf	False
11	1326964	1327078	3005		Index/Slide-1326964.iwa	91.2845458984375	110.38246154785156	201.9415740966797	201.9415740966797	0.0		12654	TP_mrca_group_braf_tert.pdf	TP_mrca_group_braf_tert-12654.pdf	False
11	1326964	1327078	3005		Index/Slide-1326964.iwa	91.2845458984375	110.38246154785156	201.9415740966797	201.9415740966797	0.0		12655	TP_mrca_group_braf_tert-small.png	TP_mrca_group_braf_tert-small-12655.png	True
11	1326964	1327076	3005		Index/Slide-1326964.iwa	84.64168548583984	364.90167236328125	201.9415740966797	201.9415740966797	0.0		12662	tp_apobec_braf_tert.pdf	tp_apobec_braf_tert-12662.pdf	False
11	1326964	1327076	3005		Index/Slide-1326964.iwa	84.64168548583984	364.90167236328125	201.9415740966797	201.9415740966797	0.0		12663	tp_apobec_braf_tert-small.png	tp_apobec_braf_tert-small-12663.png	True
11	1326964	1327077	3005		Index/Slide-1326964.iwa	292.0829772949219	108.0404052734375	206.6256866455078	206.6256866455078	0.0		12671	age_tert_braf.pdf	age_tert_braf-12671.pdf	False
11	1326964	1327077	3005		Index/Slide-1326964.iwa	292.0829772949219	108.0404052734375	206.6256866455078	206.6256866455078	0.0		12672	age_tert_braf-small.png	age_tert_braf-small-12672.png	True
12	878682	1300928	3005		Index/Slide-878682.iwa	152.8299102783203	59.458984375	312.8825988769531	223.48756408691406	0.0		12889	TCGA-BJ-A2P4-01A-11D-A85F-36_SCNA.pdf	TCGA-BJ-A2P4-01A-11D-A85F-36_SCNA-12889.pdf	False
12	878682	1300928	3005		Index/Slide-878682.iwa	152.8299102783203	59.458984375	312.8825988769531	223.48756408691406	0.0		12890	TCGA-BJ-A2P4-01A-11D-A85F-36_SCNA-small.png	TCGA-BJ-A2P4-01A-11D-A85F-36_SCNA-small-12890.png	True
12	878682	1301817	3005		Index/Slide-878682.iwa	149.64134216308594	297.29400634765625	319.2597351074219	228.0426788330078	0.0		12900	TCGA-DJ-A2PS-01A-11D-A85G-36_SCNA-small.png	TCGA-DJ-A2PS-01A-11D-A85G-36_SCNA-small-12900.png	True
12	878682	1301817	3005		Index/Slide-878682.iwa	149.64134216308594	297.29400634765625	319.2597351074219	228.0426788330078	0.0		12899	TCGA-DJ-A2PS-01A-11D-A85G-36_SCNA.pdf	TCGA-DJ-A2PS-01A-11D-A85G-36_SCNA-12899.pdf	False
12	878682	1302065	3005		Index/Slide-878682.iwa	149.64132690429688	537.4066162109375	319.259765625	228.0426788330078	0.0		12906	TCGA-BJ-A3PT-01A-12D-A85F-36_SCNA.pdf	TCGA-BJ-A3PT-01A-12D-A85F-36_SCNA-12906.pdf	False
12	878682	1302065	3005		Index/Slide-878682.iwa	149.64132690429688	537.4066162109375	319.259765625	228.0426788330078	0.0		12907	TCGA-BJ-A3PT-01A-12D-A85F-36_SCNA-small.png	TCGA-BJ-A3PT-01A-12D-A85F-36_SCNA-small-12907.png	True
13	1021199	1298277	3005		Index/Slide-1021199.iwa	73.23539733886719	82.958740234375	465.5292053222656	258.6273498535156	0.0		12590	drivers_minCCF.pdf	drivers_minCCF-12590.pdf	False
13	1021199	1298277	3005		Index/Slide-1021199.iwa	73.23539733886719	82.958740234375	465.5292053222656	258.6273498535156	0.0		12591	drivers_minCCF-small.png	drivers_minCCF-small-12591.png	True
14	1021877	1305630	3005		Index/Slide-1021877.iwa	128.5489044189453	80.49988555908203	331.28131103515625	207.05084228515625	0.0		12560	tp_tumor_hetrogenerity_math_ccf_drivers.pdf	tp_tumor_hetrogenerity_math_ccf_drivers-12560.pdf	False
14	1021877	1305630	3005		Index/Slide-1021877.iwa	128.5489044189453	80.49988555908203	331.28131103515625	207.05084228515625	0.0		12561	tp_tumor_hetrogenerity_math_ccf_drivers-small.png	tp_tumor_hetrogenerity_math_ccf_drivers-small-12561.png	True
14	1021877	1305631	3005		Index/Slide-1021877.iwa	128.5489044189453	300.21484375	365.8763427734375	266.0919189453125	0.0		12567	tp_tumor_hetrogenerity_math_ccf_drivers2.pdf	tp_tumor_hetrogenerity_math_ccf_drivers2-12567.pdf	False
14	1021877	1305631	3005		Index/Slide-1021877.iwa	128.5489044189453	300.21484375	365.8763427734375	266.0919189453125	0.0		12568	tp_tumor_hetrogenerity_math_ccf_drivers2-small.png	tp_tumor_hetrogenerity_math_ccf_drivers2-small-12568.png	True
