manuscript_id	figure_id	panel_id	legend_paragraph_id	legend_snippet	source_docx_sha256
Fig. 6b	Fig. 6	b	p0147	b, Corresponding relationship in the combined Chornobyl cohorts, with an age-associated linear slope of 4.6 mutations per year. Points represent individual tumors and shaded bands indicate uncertainty around the fitted regression lines.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Extended Data Fig. 1	Extended Data Fig. 1		p0149	Extended Data Fig. 1: Genomic alteration burden across PTC WGS cohorts. Tumor mutation burden (TMB; mutations per megabase), percentage of genome altered (PGA), number of structural-variant (SV) events and number of transposable-element (TE) events across the three cohorts. SV and TE counts are shown on a log2 scale. Points represent individual tumors; box plots show the median (center line), interquartile range (box) and whiskers extending to 1.5× the interquartile range. FDR-adjusted P values for the indicated cohort comparisons are shown above brackets.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Extended Data Fig. 2a	Extended Data Fig. 2	a	p0150	a, Associations of recurrent genomic alterations with MATH score within each cohort. The x axes show log2 fold changes in MATH between alteration-positive and alteration-negative tumors, and the y axes show −log10(P values); colours denote alteration type.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Extended Data Fig. 2b	Extended Data Fig. 2	b	p0150	b, MATH score distributions stratified by TERT-promoter mutation, BRAF mutation, KRAS mutation and clonal 22q-loss status within each cohort. Points represent individual tumors; box plots show the median and interquartile range.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Extended Data Fig. 3a	Extended Data Fig. 3	a	p0151	a,b, Variant-allele fraction and estimated cancer cell fraction (CCF), together with CCF distributions of fitted mutation clusters, for two representative PTC tumors. Colours distinguish inferred mutation clusters, and annotations indicate cluster CCFs and numbers of assigned mutations. | a, Example of a tumor with a predominantly clonal mutation burden (TCGA-EL-A3H3-01A-11D-A85S-36).	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Extended Data Fig. 3b	Extended Data Fig. 3	b	p0151	a,b, Variant-allele fraction and estimated cancer cell fraction (CCF), together with CCF distributions of fitted mutation clusters, for two representative PTC tumors. Colours distinguish inferred mutation clusters, and annotations indicate cluster CCFs and numbers of assigned mutations. | b, Example of a tumor with a mutation-rich subclonal population (TCGA-EM-A3FJ-01A-11D-A85U-36).	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Extended Data Fig. 4a	Extended Data Fig. 4	a	p0152	a, Estimated age at the most recent common ancestor (MRCA) in tumors classified as other, BRAF only, BRAF plus TERT-promoter mutation or TERT-promoter mutation only.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Extended Data Fig. 4b	Extended Data Fig. 4	b	p0152	b, Age at diagnosis across the same groups. In a,b, points represent individual tumors and box plots show the median (center line), interquartile range (box) and whiskers extending to 1.5× the interquartile range; FDR-adjusted P values for the indicated pairwise comparisons are shown.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Extended Data Fig. 4c	Extended Data Fig. 4	c	p0152	c, Prevalence of APOBEC mutagenesis across TERT-only, other, BRAF-only and BRAF plus TERT tumors. APOBEC mutagenesis was detected in 9.1%, 11.9%, 21.8% and 39.0% of tumors, respectively.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Supplementary Fig. 1a	Supplementary Fig. 1	a	p0154	a–c, Genome-wide LogR, B-allele frequency (BAF), allele-specific absolute copy number and segment cancer cell fraction (CCF) for three representative tumors. Orange and green lines denote total and minor copy number of the major clone, respectively; additional colours indicate subclonal copy-number states. Sample-level purity, ploidy and percentage of genome altered are shown below each profile.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Supplementary Fig. 1b	Supplementary Fig. 1	b	p0154	a–c, Genome-wide LogR, B-allele frequency (BAF), allele-specific absolute copy number and segment cancer cell fraction (CCF) for three representative tumors. Orange and green lines denote total and minor copy number of the major clone, respectively; additional colours indicate subclonal copy-number states. Sample-level purity, ploidy and percentage of genome altered are shown below each profile.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Supplementary Fig. 1c	Supplementary Fig. 1	c	p0154	a–c, Genome-wide LogR, B-allele frequency (BAF), allele-specific absolute copy number and segment cancer cell fraction (CCF) for three representative tumors. Orange and green lines denote total and minor copy number of the major clone, respectively; additional colours indicate subclonal copy-number states. Sample-level purity, ploidy and percentage of genome altered are shown below each profile.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Supplementary Fig. 2	Supplementary Fig. 2		p0155	Supplementary Fig. 2: Minimum detected CCF across genomic alteration groups. Density distributions of the minimum detected CCF across recurrent genomic alteration groups.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Supplementary Fig. 3a	Supplementary Fig. 3	a	p0156	a, Associations of recurrent genomic alterations with MATH score within each cohort. The x axes show log2 fold changes in MATH between alteration-positive and alteration-negative tumors, and the y axes show −log10(P values). Colours denote alteration type; the horizontal dashed line denotes P = 0.05. Alterations with significant associations are labelled.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Supplementary Fig. 3b	Supplementary Fig. 3	b	p0156	b, MATH score distributions stratified by TERT-promoter mutation, BRAF mutation, KRAS mutation and clonal 22q-loss status within each cohort. Violin plots show the distribution of MATH scores, with embedded box plots indicating the median and interquartile range.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
