keynote_slide	slide_id	object_id	object_type	parent_object_id	iwa_file	x	y	width	height	angle	text
5	997193	1317749	2011	1317726	Index/Slide-997193.iwa	32.17282676696777	534.4240779876709	199.93374633789062	14.729001998901367	0.0	KRAS/TERT/Fusion/chr22q clonal deletion
5	997193	1317756	2011	1317726	Index/Slide-997193.iwa	90.87823104858398	564.1416168212891	57.86072540283203	14.729001998901367	0.0	BRAF+TERT
5	997193	1103361	2011		Index/Slide-997193.iwa	44.77383804321289	19.689342498779297	55.900001525878906	26.046875	0.0	Fig. 4
5	997193	1104338	2011		Index/Slide-997193.iwa	38.72752380371094	47.456298828125	21.671327590942383	26.046875	0.0	a
5	997193	1104320	2011		Index/Slide-997193.iwa	313.5679626464844	47.456298828125	21.671327590942383	26.046875	0.0	b
5	997193	1104335	2011		Index/Slide-997193.iwa	26.47111701965332	257.5019226074219	21.671327590942383	26.046875	0.0	c
5	997193	1104330	2011		Index/Slide-997193.iwa	242.8655548095703	257.5019226074219	21.671327590942383	26.046875	0.0	d
5	997193	1104345	2011		Index/Slide-997193.iwa	32.17790603637695	442.5501708984375	21.671327590942383	26.046875	0.0	e
6	877692	877715	2011		Index/Slide-877692.iwa	44.77383804321289	19.689342498779297	55.900001525878906	26.046875	0.0	Fig. 5
6	877692	877726	2011		Index/Slide-877692.iwa	33.47821044921875	62.98787307739258	21.671327590942383	26.046875	0.0	a
6	877692	877759	2011		Index/Slide-877692.iwa	260.8033447265625	62.98787307739258	21.671327590942383	26.046875	0.0	b
6	877692	877753	2011		Index/Slide-877692.iwa	438.4272766113281	62.98787307739258	21.671327590942383	26.046875	0.0	c
6	877692	877709	2011		Index/Slide-877692.iwa	359.2114562988281	189.16065979003906	21.671327590942383	26.046875	0.0	d
6	877692	1275450	2011		Index/Slide-877692.iwa	28.102645874023438	305.34271240234375	21.671327590942383	26.046875	0.0	e
6	877692	1276807	2011		Index/Slide-877692.iwa	284.5372009277344	305.34271240234375	21.671327590942383	26.046875	0.0	f
6	877692	1276884	2011		Index/Slide-877692.iwa	33.47821044921875	504.8923645019531	21.671327590942383	26.046875	0.0	g
7	1288038	1320596	2011		Index/Slide-1288038.iwa	44.77383804321289	19.689342498779297	55.900001525878906	26.046875	0.0	Fig. 6
7	1288038	1342373	2011		Index/Slide-1288038.iwa	52.28098678588867	78.15139770507812	21.671327590942383	26.046875	0.0	a
7	1288038	1342377	2011		Index/Slide-1288038.iwa	279.6061096191406	78.15139770507812	21.671327590942383	26.046875	0.0	b
8	1041057	1043147	2011		Index/Slide-1041057.iwa	44.77383804321289	19.689342498779297	220.30104064941406	26.046875	0.0	Extended Data Fig. 1
9	1066943	1067797	2011		Index/Slide-1066943.iwa	44.77383804321289	19.689342498779297	220.30104064941406	26.046875	0.0	Extended Data Fig. 2
9	1066943	1069887	2011		Index/Slide-1066943.iwa	81.77428436279297	89.60831451416016	21.671327590942383	26.046875	0.0	a
9	1066943	1069898	2011		Index/Slide-1066943.iwa	81.77428436279297	360.0169372558594	21.671327590942383	26.046875	0.0	b
10	1322732	1323026	2011		Index/Slide-1322732.iwa	44.77383804321289	19.689342498779297	220.30104064941406	26.046875	0.0	Extended Data Fig. 3
10	1322732	1323557	2011		Index/Slide-1322732.iwa	74.60686492919922	91.1375961303711	21.671327590942383	26.046875	0.0	a
10	1322732	1323559	2011		Index/Slide-1322732.iwa	74.60686492919922	297.42437744140625	21.671327590942383	26.046875	0.0	b
10	1322732	1344668	2011		Index/Slide-1322732.iwa	306.0	86.66402435302734	0.0	0.0	0.0	TCGA-EL-A3H3-01A-11D-A85S-36
10	1322732	1344924	2011		Index/Slide-1322732.iwa	283.90045166015625	310.44781494140625	0.0	0.0	0.0	TCGA-EM-A3FJ-01A-11D-A85U-36
11	1326964	1327134	2011		Index/Slide-1326964.iwa	44.77383804321289	19.689342498779297	220.30104064941406	26.046875	0.0	Extended Data Fig. 4
11	1326964	1347193	2011		Index/Slide-1326964.iwa	68.11053466796875	88.07384490966797	21.671327590942383	26.046875	0.0	a
11	1326964	1347196	2011		Index/Slide-1326964.iwa	283.50018310546875	88.07384490966797	21.671327590942383	26.046875	0.0	b
11	1326964	1347191	2011		Index/Slide-1326964.iwa	68.11053466796875	360.43585205078125	21.671327590942383	26.046875	0.0	c
12	878682	878705	2011		Index/Slide-878682.iwa	44.77383804321289	19.689342498779297	171.33554077148438	26.046875	0.0	Supplementary Fig. 1
12	878682	878716	2011		Index/Slide-878682.iwa	123.16348266601562	74.44683074951172	21.671327590942383	26.046875	0.0	a
12	878682	878749	2011		Index/Slide-878682.iwa	123.16348266601562	309.7886962890625	21.671327590942383	26.046875	0.0	b
12	878682	878743	2011		Index/Slide-878682.iwa	123.16348266601562	555.5086669921875	21.671327590942383	26.046875	0.0	c
13	1021199	1021376	2011		Index/Slide-1021199.iwa	44.77383804321289	19.689342498779297	171.33554077148438	26.046875	0.0	Supplementary Fig. 2
14	1021877	1022911	2011		Index/Slide-1021877.iwa	44.77383804321289	19.689342498779297	171.33554077148438	26.046875	0.0	Supplementary Fig. 3
14	1021877	1350103	2011		Index/Slide-1021877.iwa	123.16348266601562	74.44683074951172	21.671327590942383	26.046875	0.0	a
14	1021877	1350102	2011		Index/Slide-1021877.iwa	123.16348266601562	309.7886962890625	21.671327590942383	26.046875	0.0	b
